month,resonance_energy,adaptability,diversity,loss_rate,note
2024-01,0.85,0.80,0.75,0.12,stable winter; school full; two grocers
2024-02,0.83,0.79,0.72,0.14,two young families announce move to city
2024-03,0.80,0.78,0.68,0.16,families leave after school term
2024-04,0.78,0.75,0.62,0.19,district proposes consolidating the school
2024-05,0.72,0.72,0.55,0.25,two skilled tradespeople retire without apprentices
2024-06,0.65,0.65,0.48,0.32,clinic cuts hours to one day per week
2024-07,0.60,0.60,0.40,0.38,long-serving doctor passes away
2024-08,0.55,0.55,0.32,0.45,several households begin driving an hour for groceries
2024-09,0.50,0.50,0.25,0.52,school closed; children bused out of district
2024-10,0.45,0.45,0.20,0.58,last grocery store announces closure
2024-11,0.40,0.40,0.15,0.63,post office hours reduced
2024-12,0.35,0.35,0.10,0.70,mostly elders remain; winter services strained
